,2022-11-30
0,"@FinancialReview simply nonsense. Don't let the gas out of the country until the gas and oil industry comes into line with this nations requirements. If they cannot, then they have the option to close their operations. A local company will step in. We have history on our side -&gt; Norway. #auspol"
1,"@GavinNewsom You could end the gas tax, but you would rather send out checks that you get to tax...you and every politician are 100% worse than oil companies..."
2,"@POTUS Gas prices are down only because you are depleting our strategic oil reserves. Domestic production is up because we are still trying to get back to where we were pre-plandemic. We've given tens of billions of dollars to Ukraine, much of it unaccounted for, that we need here."
3,https://t.co/HEMuIIrFin Oil “Quality News Links” History of the 42-Gallon Oil Barrel - American Oil &amp; Gas Historical Society https://t.co/TPUxdg4HdP
4,@SenatorLankford You do know that US is the largest global producer of crude oil and liquid natural gas right?
5,"@mat_schmaltz @maxfawcett @PierrePoilievre Less oil and gas, and more Chinese Coal?"
6,"@POTUS Everything in this tweet is false. We need to drill for oil here, not in other countries. You did not create 10 million jobs, people from covid just went back to work. Gas prices are up! Just look at the Diesel prices. You are a hack liar, and the worst president ever in history!"
7,"Job Board... HSEQ Assistant - Durham, County Durham - £25,000 to £30,000: Our client, is a leading stockist and supplier of pipe, fittings, flanges, valves, and associated products to industries including oil, gas, power, petrochemical,… https://t.co/zCwGBPlc6k #nuclearjobs https://t.co/LHHae5u046"
8,¡Oil &amp; Gas Reporter está disponible! https://t.co/Q8KHjWo0rJ Gracias a @WorldOil #oilandgas #upstream
9,"@POTUS And now, after President Biden has nearly emptied our strategically petroleum oil reserves does he really believe that gas prices are going to stay down. The only way that’s going to happen is if Joe Biden makes a deal with the devil."
10,"The average price has dropped 19 consecutive days and 52 times in 56 days since rising to a record $6.435 on Oct. 5, falling $1.457, including 4.8 cents Tuesday, according to figures from the AAA and the Oil Price Information Service. https://t.co/Ro4SFCoQPO"
11,"Anti-oil missionaries are consuming copious amounts of jet fuel to fly to a summit dedicated to eliminating oil and gas 

Rex Murphy: COP27's great pyramid scheme 

https://t.co/g5rrG2SfXj"
12,"@RepLaTurner Big oil is global, knows no boundaries, holds no allegiance.

@gop, beholden to big-oil donors, creates the illusion cheaper gas &amp; US energy independence result from unfettered access to our resources.

Truly, we need clean energy now or we fry, or drown.

https://t.co/13cCq2hdDP"
13,https://t.co/E2cQitjzwL
14,"@munkeerench @Rebenga97 @melaniejoly @DmytroKuleba Russia is not a communist country. The USSR split up by 1991 and since then Russia has been free market/trade oriented, trying to sell their gas &amp; oil, and have moved away from the centralized command economy."
15,@stu_rush @MorningEdition Thanks for letting me see the board so I can know when the promo’s future of oil and gas piece will run! 😉 It’s just like old times.
16,@CodeRedEarth Biden is going to open up their oil and gas fields again and get 170K oil workers back to work he closed down causing a jump in world fuel prices . The man’s a climate idiot
17,"Now that gas prices will be going down, I wonder if Trumpers will give Biden credit, because they're sure happy to blame him when prices are up! #dummies

https://t.co/vPCUyXyMqZ"
18,"The citizen suit provision of the Clean Air Act also allows citizen groups to recoup their legal costs from polluting companies.

One environmental group put it to the test and won.

https://t.co/3mqBn02tx9"
19,@apmassaro3 They got gas and oil it call energy security
20,We the People WANT our energy independence back!! Real American Strength!! Real American Power!! American Oil and Gas powering the whole ‘free’ world. #DemocratsAreDestroyingAmerica
21,"@KaylaChowShow Not in decades. I can’t remember the last time I even saw a full service station. Used to be almost every station had attendants that would check your oil, tire pressure and wash your windshield while your gas was pumping."
22,"The Green Connection says South Africa does not need more fossil fuels, so why is the government still looking? Environmental group The Green Connection vows not to be quiet about the risks of offshore oil and gas exploration in South Africa until these... https://t.co/ytmzcp6wql"
23,Even the rain can’t stop us. An oil to natural gas conversion of an @Amana_HVAC modulating warm air furnace. An installation of a @bw_waterheaters power vent water heater. https://t.co/UlgOEBQWbX
24,"Another reason to #ProtectChaco -
Researcher says ancient agricultural fields are threatened by oil and gas near Chaco
  https://t.co/3tpjTiApWP"
25,"@POTUS Does anyone remember...

... about 2 years ago...

... when everyone told this dolt that it takes 2 years for oil and gas production to ramp up?

No?

Am I the only one that old?"
26,U.S. gas prices plunge toward $3 a gallon as demand drops worldwide https://t.co/SyQKonSMIG
27,"Seibertron HIGH-VIS HDC5 Level 5 Cut Resistant Deckhand Gloves High Performance Protection Impact Resistant Oil and Gas Safet NYKC6FH

https://t.co/hVnK2PjTjp https://t.co/l6Sngt8EhA"
28,"@RepDLesko What are you talking about. The oil and gas companies in this country have 10,000 leases that they are sitting on and not using. We should be taking away the 14 billion dollars they get as tax breaks for drilling if they aren’t going to do it."
29,"@qzt6pwqqjg @TompaBrady12 @POTUS Which is why I'm going to vote Trump because he allowed oil to be drilled in the US, making those prices way less. Funny how that fascist keeps gas and bread prices down a whole lot."
30,"Idiots. There's Always been climate change, And Always will be. Ban all the Nuclear weapon tests. Continue with Clean Gas Oil Energy while exploring Viable Energy Sources.
Netherlands set to forcibly close 3,000 farms to comply with EU mandate https://t.co/No8wpMnqB9 #FoxNews"
31,"@CarignanAbreu @NorthmanTrader @elonmusk @vincent13031925 I've posted a YouTube link talking about the 9k oil/gas spots in the US. John Kirby didn't care to fully answer the question because he would present a weakness.

Btw, I didn't talk about the Keystone pipeline. You're so politically driven you're creating your own scenarios."
32,"A party somewhere to the proximate left of Canada's New Democratic Party... that will crush Big Oil &amp; Gas... 

That will destroy monopolies... and end boardroom, C-suite violence and Billionaire Wars waged against the American people. 

3) https://t.co/2lcc5VbdIY"
33,@BillCassidy You should be doing something to make a lasting improvement to this state while you still can instead of bowing to the oil and gas industry.  Louisiana has lost over 1900 acres of land while oil and gas does nothing to help maintain our coastline while raking in record profits.
34,@POTUS No Joe inflation is growing! America needs oil and lots of it. We also need alternate energy sources. But you have crippled this great nation and cut off the oil supply. Get ready for $10 per gal gas America. Coming soon to a gas station near you!
35,"@cwsoxfan @ChrisMurphyCT Yes.   He shut down American oil prod, which helped boost prices as we relied more on other countries. Then emptied the reserve to artificially decrease gas prices. Screed? You folks really puzzle me. Maybe try thinking critically and not taking all you see on MSNBC at face value"
36,@POTUS Liar. Gas prices went up because you stopped oil production. We were energy independent 2 years ago &amp; now you're begging Venezuela and Saudi Arabia for it. You are the worst president EVER. https://t.co/0PwsM8FD2E
37,"@VRWCTexan Last I checked Jim Carey had 18.9 million followers. It's a safe bet most of 'em not only know who he is, but will miss his absence.

But @VRWCTexan? Not even close. Tom T's more like oil and gas, Once they're phased out, most everyone will celebrate. Including Tom T's followers https://t.co/Ew1QO7db0L"
38,"@SenJohnKennedy GOP lies, paid for by Exxon and Shell, not to mention Saudi money.
Ladies and gentlemen, the US already produces an excess of oil and natural gas, and exports it. It imports refined petroleum and passes the cost to the American people. American sweet crude is worth more. https://t.co/WBPm2OwKtV"
39,"@GOPLeader I am so thankful the Republicans are in. Now we can close the border, get the oil and gas industry booming and that will do a great deal for inflation, investigate Biden who should be impeached or article 25 let the committees go after FBI too, clean the evil up."
40,@GiorgiaMeloni @kmitsotakis #StopAliyev stop buying oil &amp; gas from Azerbaijan.
41,"@FPWellman Russia is nothing but a Terror State.

It benefits economically from the War by driving up the price of its main commodities: Oil, Gas and Wheat. Russia's Economy is Terror.

Russia's War threatens everyone in Europe that they might be next. Russia's Foreign Policy is Terror."
42,"Petition Circulators Are Telling #California Voters that a Ballot Measure Would Ban New #OilandGas Wells Near #Homes. In Fact, It Would Do the Opposite. (fossil fuel #industry knows it would lose if it doesn't deceive] https://t.co/jcjU7lmWco"
43,"@Baratuty @hardhatbeast @POTUS Listen, I know you've been living under a pillow for the four years that Trump was in office, but you know why his presidency saw the lowest gas prices ever?
Because he got rid of regulation that told us Americans we can drill for oil here in America.
What is national security?"
44,"@SenatorRisch We are already energy independent. More oil and gas just provides more oil and gas to sell overseas to the highest bidder. You know, good old capitalism. Now quit the performative act because although you are a liar, you are not an idiot."
45,"@SenJohnKennedy Your such a bad spokesperson for the cult of trumpers! Where’s your outrage about gas prices. With all the oil rigs in the gulf you should be screaming at the oil companies to ramp up production but NO, your a lemming following the party border bullcrap! Get a moral compass John"
46,"@POTUS You are full of 💩. All of that is a lie! Food Prices continue to increase, we are still buying oil from China, gas prices are starting to go back up, the job market has slowed and the housing market is starting to grind to a halt!"
47,@PTI Good to see you’re diversifying into oil and gas transportation. Smart move. https://t.co/9C1NQOElMP
48,"Canvassers, backed by the oil industry (which has spent $17.9 million since October), lie to get signatures to stop a new law that bans wells near residential areas and imposes new environmental controls.

By the always amazing @lizabio. 
https://t.co/JBOnWgdPQR"
49,"@TheNewCreation9 @RepDonaldsPress Because they don't want to lose the oil income. And btw, with gas taxes no longer a thing for a while. Why is gas still 9/10 a gallon. Extra, I am hoping I'm misunderstanding this. But you're smart man. Can you inform me?"
50,"@JDCocchiarella Ahhh, but they are. We’re for people working in manufacturing, the oil and gas sectors etc…but we aren’t caving on this deal that Alzheimer’s Joe screwed up, let the people blame the idiot Dems for this…why wasn’t the first “deal” Senile Joe announced longer than two weeks?"
51,"@CSCHOEART1 @r4nd0mH4nd13 @TopsyKrets32 @WhiteHouse You realize the trucks and trains that deliver diesel also run on diesel and not magic unicorn farts, yes? 
Do you think oil just miraculously appears at gas stations through a teleportation device?
You're aware that every single possession u own got to u because of gas, yes?"
52,U.S. gas prices plunge toward $3 a gallon as demand drops worldwide https://t.co/OOq0VHBzgJ
53,"COP OUT 27 ... MIGHT AS WELL BE A BIG OIL &amp; GAS ORGY.... THE ENTIRE FIASCO IS A JOKE AS ARE THE SOCK PUPPET POLITICIANS, WHO SAY THE PRETTY WORDS... AND THEN DO ABSOLUTELY NOTHING BUT STONEWALL, FOOT DRAG, AND DO THE OIL DICTATORSHIPS' BIDDING... https://t.co/X5iIMl5O2c"
54,"@Amos8125 It's about the same in the US. And guess who is making incredible profits from all that: the US Monoliths in Food, Natural Gas, Oil Industries;  the Super Wealthy that profit off of Rentals, ditto with Big Insurance, Big Banks: mortgage, auto loans, etc. etc."
55,"@POTUS 1)""GAS prices are down"".🤥

2)""Rallied the 'WORLD' to release oil"".🤥

3)""Historic economic &amp; jobs growth"".🤥

1. Nov. '20, 🇺🇸Avg.⛽- $2.11; NOW, $3.60!

2. Claimed #SaudiArabia trip WASN'T about oil? And the ""rally"" forgot #AMERICA .

3. INFLATION- 8%! Real wages 🔽 EVERY MONTH! https://t.co/d79FDNH3t2"
56,"U.S. gas prices plunge toward $3 a gallon as demand drops worldwide, the same level just before Russia invaded Ukraine. https://t.co/OcJ7mwdcpY"
57,At #COP27 Biden unveiled a new way to increase the price of oil and natural gas to the consumer without a direct tax that would be more noticeable to the public. https://t.co/LY5EbdrWeL
58,"@JamesBradleyCA How about Trump's conspiring with Saudi Arabia resulting in Saudi Arabia sending $2,000,000,000 to his son-in law and cutting oil production to raise gas prices?"
59,"@SteveSaretsky Because its been a Banana Repuplic day 1 of Trudy becoming PM! With Leadership like this, red tape, taxes, shutting down oil &amp; gas, covid shutting down sm business, who would think to invest here?"
60,"@ReutersWorld #CrimeaisUkraine &amp; #NaziRussia-вон! NEXT #DePutiniZation &amp; 

Victory for All🇺🇦🇷🇺🇺🇸🇨🇳🇹🇼🇪🇺will be to co-create the Great Euro-Asian Gas, Coal,⚛️&amp; Oil Community! #GreenEnergySolidarity #CoFoE 陰陽 Energy, Economic, Interdependence #HumanityFirst 天人感應. https://t.co/uVF4s5wfc5"
61,@PamKeithFL Gas prices always go down in the winter.  They add extra ethanol to the fuel.  Also the strategic oil reserve is being used.
62,"@MariaHoppers @real_defender @POTUS Executive orders don’t require votes. Again.. another meme to deflect blame on Biden banning fracking and then signing a deal to buy our oil from Russia, causing gas prices to skyrocket. You refuse to stay on topic or at least admit that this one thing is accurate. 🤡"
63,@pauley_b @FurqanHaqq @briantylercohen Well if they tell you they’re not going to give any new or oil and gas leases and allow for new exploration the federal government kind of does
64,"After repeated requests for comment to the premier’s office, requests were forwarded to the ministry of energy, which said it consulted with several other ministries before providing its response: a link to the BC Oil and Gas Commission’s website. https://t.co/7ulnx30lxW"
65,"@POTUS No.
Gas prices are up thanks to your stupid and hypocritical sanctions that you have on many nations that produce oil."
66,@58isthenew40 @SenJohnKennedy He also doesn't seem to realize that the United States is the largest oil and gas producing country in the world and a net exporter. These people think we can pump our way out of having to import oil.
67,U.S. gas prices plunge toward $3 a gallon as demand drops worldwide https://t.co/Iq9FMJoqqT
68,"Since the likes of @tedcruz, @Jim_Jordan &amp; the rest of that herd of nitwits kept bleating about gasoline prices, blaming Biden for the price increase after Putin's army invaded Ukraine, I'm sure they'll now congratulate the POTUS for the decline, right? https://t.co/YjJGJS886w"
69,@impetro9 Somewhere right now an oil and gas expert with 44 years of experience is having a panic attack
70,"IBgard for Irritable Bowel Syndrome (IBS) Relief Bloating Gas 12 Capsules Small Box 90mg Ultra Purified Peppermint Oil Good f UONP29W

https://t.co/vWlMLzcEvo https://t.co/kvK4i4jjfJ"
71,US Oil &amp; Gas president on #Biden Venezuela oil deal: Propping up Marxist gov't and 'one of the dirtiest oil producers globally’ WHY does Biden ♥️#dirtyoil https://t.co/NbW3vdi0OR
72,@SenJohnKennedy United States is the number one producing oil and gas country in the world. We are net exporters of petroleum products. The reason we have to import oil is because we guzzle more than we can produce. You can't pump your way out of that stupidity.
73,"President Joe Biden has been beating this drum for some time, having proposed a windfall tax on oil drillers in response to sky-high gas prices. But while imposing curbs on corporate profits could eventually help beleaguered consumers, /4"
74,"Anytime @ABDanielleSmith wants to buy the TMX pipeline for the $21.4 billion 'Ottawa,' i.e. Canadians, are spending to subsidize Alberta's hyper-carbon polluting oil and gas sector, it would be OK with me. As they say in Calgary, Premier Smith is all hat and no cattle."
75,"FORTE/WEF also works with Alberta, Canada; “to re-skill and train people for the green jobs to replace unsustainable industries such as coal mining, beef farming, logging and oil &amp; gas.” 

https://t.co/ePyvEhqhEz https://t.co/NjdV1s1T0f"
76,@POTUS Statoil and Chevron??.???...?.@EQTCorp Where do you all fall in this-day-in-history? The strikes and explosions scared me as a child growing up in the Gas and Oil Industry.  Never knowing if my Father was coming home or not. ANSWERING SERVICE DROVE US INSANE.RADIUM @elonmusk
77,"https://t.co/6bp7EgrMI6

Thanks, POTUS!"
78,"@POTUS Gas prices are down a few cents. Domestic production is shipped offshore-mostly to China. Venezuela is communist, has dirty oil, we have clean oil but we can't get it out of our lands! STUPIDITY! The world is laughing at us!! @HouseGOP @billmaher @joerogan @chrisrock @WHCOS @WSJ"
79,"Sonofabeeech

US Oil &amp; Gas president on Biden Venezuela oil deal: Propping up Marxist gov't and 'one of the dirtiest oil producers globally’ | Just the News
https://t.co/hT6fFwsSqG https://t.co/WG9inYDbYE"
80,"@MPAnthon @stephen_taylor And how do you know what I promote? Who ever said I'm for or  oil and gas or anything else. What's wrong with this country is people like you, that make blanket statements about people, make yourself look like a moron, and further divide the country You are no Canadian"
81,@POTUS Which account will reflect the billions of dollars it will cost to replace the strategic oil reserves? Will the price go up now that you are no longer robbing our reserve? Is this simply your slight of hand trick of taking money from us for something else and saying it's not gas?
82,@wyldcdn @BambinoJalapeno @atRachelGilmore Oil and Gas makes majority of their money don’t be stupid
83,U.S. gas prices plunge toward $3 a gallon as demand drops worldwide https://t.co/xvbOvSNkvc
84,@MBiodiversiteit @fvdemocratie It’s not about Russian oil and certainly not about natural gas. The Dutch are sitting on huge natural gas reserves. Just open the wells will do the trick and get everyone out of poverty pronto. Greens won’t do that and cause skyrocketing energy prices.
85,"I didn't like the harsh standards from Colorado as it was intended to be a soft ban on OG development. The industry however made it work and now we are a ""gold standard"" and cleaning up production. 
https://t.co/gzJRlMWcFZ"
86,"Based on the midpoint of its guidance range, Canadian Natural expects its 2023 production mix to be 44% high-value light and synthetic crude oil, 29% bitumen and heavy crude oil, and 27% natural gas."
87,"I have a Ukraine flag in my bio and understand Ukraine sits on the 2nd largest natural gas field in Europe. They want to develop it and will do so as soon as Z-head Zombies 🧟‍♂️ finish losing.

Oh, and I am for pipelines, Churchhill as an LNG and oil port and Alberta oil.

1/2 https://t.co/UcR6Sn2XEZ"
88,"@KristinRaworth Or Trudeau. She has done this because of his self immolating WEF policies that seek to destroy oil &amp; gas, take away guns, his b.s. climate narrative &amp; his desire to follow in Holland's footsteps &amp; seize farmland to control our food supply. Danielle is behaving as a true Republic."
89,"@GOP You lie. 
https://t.co/Xz5textBWZ"
90,"@POTUS LMAO Why not just another ""directive from on high""? A.K.A. ""executive order""....you know, like in your war on the oil and gas industry?"
91,"@POTUS What's devastating our economy is HIGH GAS PRICES causing HIGH GROCERY BILLS. 
Start drilling. Our oil production is cleaner than Iran, Venezuela, Saudi Arabia etc. You are killing our country."
92,Act now to support protecting Chaco from oil and gas drilling: https://t.co/CiSoNussER | via @pewenvironment #ProtectChaco #NMPol
93,Act now to support protecting Chaco from oil and gas drilling: https://t.co/tqYHtlY2Mg | via @pewenvironment #ProtectChaco #NMPol
94,The Biden administration has moved to stifle methane releases from oil and gas wells on public land after a federal court tossed out earlier requirements https://t.co/fapBRN5NtZ
95,This is just unbelievable. We are in an unequivocal planetary emergency and University of Exeter is joining forces with Shell despite the millions it has spent blocking climate action. What are @UniofExeter thinking? Students need to kick off https://t.co/jfZgX8pcCQ https://t.co/yV0spHZI6C
96,@DashDobrofsky Why don’t u get your gas from McDonalds cuz guess what oil comes from Saudi Arabia too smart ass.
