,2022-11-25
0,@TrainerGonzo @Belinda71555585 It's that easy to figure out  and he keeps attacking oil no matter how high gas prices go.
1,"@davidmweissman Clueless! Right he inherited energy independence, record low unemployment across all ethnic groups, low gas and oil prices, no inflation or recession, stocked shelves, no shortages, and the hit parade continues and in two years he fucked everything up!"
2,@laurenboebert Magic money? You mean from the @NRA right? Or the money that #JaysonBoebert receives from the gas and oil industry? Or the magic campaign finance money that you received and has been reported to the @FCC due to your violations?
3,"@thetruthsucks12 @haliwell51 @gmbutts No maybe, it’s for sure. They spent money like there was an unlimited supply. While shutting down our oil and gas sectors. Only to bring in oil for Saudi Arabia. Where they stone people to death, women have no rights."
4,"You are full of it. You shut down our clean crude and you are trying to get dirty nasty oil from Venzsulia. The middle East willnot take ur calls. U are to blame for our gas our inflation, our cost of food is soaring and u just walk around in a fog. Cannot wait for 2024. https://t.co/XPzAay88PP"
5,@Pb76b4m77cPeter @garythechimp @JohnDun29970028 @Neilsocialist All revenue from oil and gas are accounted for in the Scottish Gov accounts and even with them there we get £12b more out than we put in? Even the SNP recognise this ?
6,¡Oil &amp; Gas Reporter está disponible! https://t.co/owfgRQtDWq Gracias a @WorldOil #oilandgas #upstream
7,"Trouble ahead for EU. Oil price caps, gas shortages, sky high LNG prices and refugees
https://t.co/7Q0mZPuMI0

The Duran
November 24, 2022

#JanetYellen
#UK #US #Norway 
#Russia #India #China #Turkey
#blackouts #Qatar https://t.co/r4fB0QtiVr"
8,"@nickofnz @NewshubNationNZ Oil and gas will be your future, whether you commies like it or not. Germany is building new coal plants as I write, they were lecturing us on climate while sniffing on Russian gas. Modern post industrial civilisation is built on Fossil fuels and Ammonia. Go figure."
9,@WhiteHouse Disaster in Afghanistan record inflation people deciding whether to heat or eat( do to your terrible oil and natural gas policies) don't know how long we can take it. You are the WORST administration  in US history
