,2022-11-24
0,"@BellaWallerstei They have been paying oil and gas companies not to drill in the North Sea to save the planet, whilst at the same time importing oil and gas with a greater environmental footprint at extortionate cost.
Utter madness."
1,"@BladeoftheS 3 The major difference between UK and other European countries is the UK has greater dependency on oil and gas, and less on wind &amp; nuclear energy"
2,¡Oil &amp; Gas Reporter está disponible! https://t.co/Ic1B1gv14W Gracias a @WorldOil #oilandgas #upstream
3,@binnahar85 Europe wants to boycott Qatar? Are you ready for oil and gas prices to soar to the sky?..LoL
4,@TheoFleury14 This was always about $$ and the WEF/ Globalist agenda to take away oil and gas and eradicate the middle class and send us back to the 1800's.
5,"54% of Quebecers want to see province develop oil and energy projects https://t.co/Y6JRWjS9LT via @truenorthcentre “Contrary to what the government says, Quebecers want the energy sector to develop,” said MEI economist Olivier Rancourt."
6,"#Deepwater #oil and #gas production is set to increase by 60% by 2030, to contribute 8% of overall upstream production, according to a new report from Wood Mackenzie"
7,@NHSWorker16 @Acoveh @Thompsonklay @JackPosobiec Bingo.  Trump was blocking the pipeline those corrupt German leaders were personally profiting from and was trying to increase North American gas and oil output to replace Putin's grip on the European market.   DemoKKKrats hate humanity.
8,"Trouble ahead for EU. Oil price caps, gas shortages, sky high LNG prices and refugees. https://t.co/kjeqSTByNm #TheDuran #EU #LNG #Refugees"
9,"@SenWarren You are just a liar. The prices increased all because of your shutting off the gas and oil .
You are so much a part of the problem. Joe Biden will burn in hell for what he has done to America."
10,@mdt546 @TrueNorthCentre Alberta sitting on all that oil and gas . . .
11,"""We are working hard to hit Russia where it hurts, by buying Russian oil and gas at a markup from third parties not participating in the price cap"" https://t.co/tsMg4lzoKv"
12,"@beachbirds72 @DonJBacon Trump arranged for OPEC and Russia to cut production by 25%, days after losing the election, so he could feather the nests of his gas and oil exec buddies during a supply chain crisis caused by his gross mismanagement of the pandemic. That was the main cause of our inflation."
13,"Earlier this evening, over 45% of UK electricity was coming from wind power.
Think how much electricity could be generated by all the UCP blowhards we have in Alberta telling us how critical oil and gas are. https://t.co/ofzZc8RuXw"
14,"@AdamConlon15 Yep. That said, it's getting increasingly hard to get oil and gas anywhere. After countless wars for the stuff, we're now surprised that it's not so easy to get hold of nowadays."
15,"@ChownykMichael @ScottCJMcKelvie @BrianGitt It nice that you have those things. You know Michael, not all of us have the energy luxuries that you have. Especially the poor who have to cook their food with oil and natural gas. Personally, I don’t want to put solar panel on my roof and buy an electric car."
16,@WestNitaFBPE @sophielouisecc These British Nationalists are actually pro-Putin - part of their job description is to promote the sales of Russian oil and gas. Sophie is a Russian asset.
17,"@Flash_news_ua Crimea is part of Ukraine. Cannot be economical without Ukraine’s water and land bridge. Besides, this war is about the oil and gas in the Black Sea that belongs to Ukraine."
18,"@Edinburgh_CC @planningedin Gas and oil will always be needed, it's how we make the wind turbines and the equipment needed when they break down, we need to focus on making sure scotland can supply energy to every home at affordable prices first, then try to cut emissions later."
19,"My Dad worked in the oil &amp; gas industry for 20+ years, and I was NEVER attached to it. You are truly pathetic if you don’t believe in the Green New Deal, because it would not only help your family member transition jobs but also stop climate change."
20,"@AdamConlon15 yeah, there's a lot of crazy shit going on as oil and gas become scarce and expensive."
21,@JROL17_ @WifeyAlpha Well done. Seeing shit like this make me regret my decision to work in oil &amp; gas sector
22,@rydmaz @buchebuche561 @alain_co Si on remet la filière n en ordre de marche et qu'elle crache de l'électricité nucléaire plein pot Total peut transférer une grosse part de ses compétences oil&amp;gas sur l'H2.
23,The big boys that bidding for the deep water oil &amp; gas exploration 👀
24,"@AdamConlon15 I understand things are pretty scary in the UK right now with affordable energy. I'm sorry everyone has been put in this predicament. Unfortunately, oil and gas are very limited. And fracking wouldn't even cover a fraction, never make a profit, and destroy essential resources."
25,@karen6566a @Xx17965797N Putin is a known liar. It is well known Putin wanted the newly found oil and gas deposits for himself and his cronies. Putin also couldn't handle Ukraine being a successful democracy that kicked out his hand picked puppet.
26,"@Dnball62 @SaneGeist @FranckFwamba @joe_mbaya @DorleyMAT @emil_jens @darrin_brandon @nskazadi @ChristianLukusa @Presidence_RDC @ALINGETEJULES_K @ConDino007 I wanted to block oil n gas but persuaded not to... still on the cards
Shane involves himself in the $AVZ conversation with as much anxiety as a holder🤦🏿‍♀️🤦🏼‍♀️"
27,The Advantages of Working in the Oil and Gas Industry https://t.co/FdvD5Mh5kY via @chatmogul
28,"“A freeze on new tax waivers for foreign companies and review of tax exemptions for free zone, mining, oil and gas companies; A hiring freeze for civil and public servants. No new government agencies shall be established in 2023; There shall be no hampers for 2022”.
#KenMustGo"
29,@sophielouisecc No that’s the cost of having sold off our gas and oil fields - Norway isn’t in trouble.
30,"The Great Undoing: Biden’s squeeze on oil and gas leasing drains conservation fund

https://t.co/xdoOlOE5RF https://t.co/Qr3V70XIwX"
31,@CSRushfan @JoeBiden We can start with refusing renewal of drilling permits and canceling the oil pipeline leading to high gas prices which raises the cost of everything.
32,"@EliseStefanik Tell me, what did Biden do to cause inflation?   The supply chain?  Covid   Poultry?  Bird Flu   Gas prices?  Greedy oil companies.    What have Repubicans proposed?  Nothing!"
33,@MeghanEMurphy @HeyTammyBruce Learn to code!   Isn’t that what y’all say about oil and gas workers forced outta work
34,"@carrie_hampel Wind and solar is unreliable

Doesn't cover the needs we have 

Gas oil still has a part to play I'm afraid 

Oh 

We need fracking with better controls 

And climate change is a scam the UK counts for barely 1% of global emissions

south pole it's getting colder not warmer"
35,@tedcruz Cherry picking dates and %s doesn’t change anything. It’s just whining. We paid ridiculous gas prices for 2 years because of Biden’s war on energy. Home heating oil will be scarce and unaffordable for many in PA and north.
36,"“They want America to produce less oil and gas while at the same time they want our enemies to produce more. They want Iran to produce more oil.” @tedcruz 
https://t.co/r7hySqYdw9"
37,How about boycotting our oil and gas first! :) https://t.co/Uf3MS28Tsx
38,"@M0kujin @Joe22319618 @darrengrimes_ real culprits are the Oil Giants, no ifs or buts. It is them.

And again this thinking nobody knows gas is used for energy production, we know, most people know. So you can stop pushing it.

Coal/Gas has been used for decades for energy production. It is more efficient now though"
39,"@clogsdon52 @DanKEberhart Of course, because Joe Biden put their competitors, independent ma &amp;  pa oil &amp; gas companies out of business. That said, oil &amp; gas companies are still making a fraction of what big tech is raking in because oil &amp; gas producers have a lot more overhead including good paying jobs."
40,"@CarolineLucas I would like to recommend an excellent book which will provide endless information for the effects of oil/gas/fracking. It’s called “Blowout” by Rachel Maddow, an American investigative journalist and MSNBC presenter. It’s an eye opener."
41,"We buy all types of construction equipment; gas, oil, and #miningequipment
So, if you are thinking of selling your used equipment running or non-running, look no further. Visit https://t.co/gQghbjbwOq or call 214-773-0207.
#whobuysheavyequipment #webuyusedconstructionequipment https://t.co/evS5bO8069"
42,"@avrain27 @apmassaro3 It was the cause. Crimea and the Donbass have most of the fertile land and oil/gas deposit of Ukraine. Kherson have the water access for Crimea.
It's hard to know if you are ignorant or dishonest . You wouldn't defend the US if they did that, so why do you defend Russia ?"
43,"@built_divine @ChinasaNworu Oil power more than just vehicles bro, you're not thinking outside the box 🤮🤮🤮

Oil is used for Jet fuel and aviation gasoline, gas, food productions like fertilizers, furnitures(Polyurethane foam), plastic, Clothing materials(Polyester, rayon, nylon) etc...."
44,"Trouble ahead for EU. Oil price caps, gas shortages, sky high LNG prices... https://t.co/njD3NkEero via @YouTube"
45,"@kinsellawarren Agree that national security = economic security, also stable &amp; predictable government regulations - the Liberal's erratic policies on the Canadian Oil &amp; Gas industry has = economic insecurity"
46,"@violin4all @HeidiMiner7 African economies can still use the investment and revenue from oil and gas exploration, it is an economic reality. It can change their economies and therefore people lives  over night."
47,USA has oil and gas along the Libyan border.
48,"@GretaThunberg @auroramalet there were 636 oil and gas lobbyists at Cop27! imagine the difference, had they been swapped for your 636!? ... wishing you luck! in love and rage 🥰"
